日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
105/07/29,FB11 花椰菜 青梗 留梗柄,69.0,47.0,28.7,47.7,3247
105/07/30,FB11 花椰菜 青梗 留梗柄,74.7,54.5,26.8,53.0,3189
105/07/31,FB11 花椰菜 青梗 留梗柄,70.7,47.8,26.7,48.1,4066
105/08/02,FB11 花椰菜 青梗 留梗柄,69.5,49.4,28.2,49.2,5359
105/08/03,FB11 花椰菜 青梗 留梗柄,72.5,52.0,30.5,51.8,3053
105/08/04,FB11 花椰菜 青梗 留梗柄,68.7,43.8,24.7,45.0,3775
105/08/05,FB11 花椰菜 青梗 留梗柄,63.6,44.4,27.0,44.7,3405
105/08/06,FB11 花椰菜 青梗 留梗柄,78.3,49.6,29.6,51.3,3438
105/08/07,FB11 花椰菜 青梗 留梗柄,75.1,50.1,28.7,50.8,4671
105/08/09,FB11 花椰菜 青梗 留梗柄,67.3,44.7,26.5,45.6,7433
105/08/10,FB11 花椰菜 青梗 留梗柄,73.4,50.2,31.6,51.1,3842
105/08/11,FB11 花椰菜 青梗 留梗柄,59.4,43.2,26.5,43.1,4634
105/08/12,FB11 花椰菜 青梗 留梗柄,79.4,48.4,28.3,50.6,3981
105/08/13,FB11 花椰菜 青梗 留梗柄,68.7,43.8,25.5,45.1,6675
105/08/14,FB11 花椰菜 青梗 留梗柄,67.9,38.7,23.9,41.5,8110
105/08/16,FB11 花椰菜 青梗 留梗柄,72.8,41.3,20.1,43.4,9275
105/08/17,FB11 花椰菜 青梗 留梗柄,79.3,44.4,22.4,47.0,7579
105/08/20,FB11 花椰菜 青梗 留梗柄,73.0,44.0,23.3,45.6,8838
105/08/21,FB11 花椰菜 青梗 留梗柄,80.6,42.4,22.8,46.1,5739
105/08/23,FB11 花椰菜 青梗 留梗柄,84.5,51.0,27.4,53.0,5167
105/08/24,FB11 花椰菜 青梗 留梗柄,95.1,57.9,33.9,60.5,2667
105/08/25,FB11 花椰菜 青梗 留梗柄,90.5,59.6,34.3,60.7,3174
105/08/26,FB11 花椰菜 青梗 留梗柄,98.0,56.1,27.1,58.6,2222
105/08/27,FB11 花椰菜 青梗 留梗柄,105.9,65.1,38.6,68.0,2446
105/08/28,FB11 花椰菜 青梗 留梗柄,110.9,66.5,35.5,69.2,2795
105/08/30,FB11 花椰菜 青梗 留梗柄,111.0,67.0,39.0,70.2,2895
105/08/31,FB11 花椰菜 青梗 留梗柄,127.4,84.9,45.2,85.5,1272
105/09/01,FB11 花椰菜 青梗 留梗柄,112.7,69.8,33.8,71.2,2380
105/09/02,FB11 花椰菜 青梗 留梗柄,100.8,58.2,29.8,61.0,2491
105/09/03,FB11 花椰菜 青梗 留梗柄,104.2,58.7,28.3,61.7,3067
105/09/04,FB11 花椰菜 青梗 留梗柄,92.7,58.1,29.5,59.3,4761
105/09/06,FB11 花椰菜 青梗 留梗柄,77.2,49.7,25.6,50.4,6124
105/09/07,FB11 花椰菜 青梗 留梗柄,86.8,55.5,25.2,55.7,2818
105/09/08,FB11 花椰菜 青梗 留梗柄,74.9,50.8,30.7,51.6,3879
105/09/09,FB11 花椰菜 青梗 留梗柄,84.2,52.0,30.5,54.1,3469
105/09/10,FB11 花椰菜 青梗 留梗柄,90.3,53.2,25.4,55.1,4289
105/09/11,FB11 花椰菜 青梗 留梗柄,81.9,52.0,28.1,53.2,4757
105/09/13,FB11 花椰菜 青梗 留梗柄,95.2,59.6,28.1,60.4,6848
105/09/14,FB11 花椰菜 青梗 留梗柄,109.2,68.3,26.9,68.2,4542
105/09/15,FB11 花椰菜 青梗 留梗柄,84.8,55.4,32.7,56.7,7374
105/09/18,FB11 花椰菜 青梗 留梗柄,62.1,35.0,14.8,36.4,12607
105/09/20,FB11 花椰菜 青梗 留梗柄,76.3,44.1,20.7,45.9,8390
105/09/21,FB11 花椰菜 青梗 留梗柄,88.5,50.0,21.8,52.1,6465
105/09/22,FB11 花椰菜 青梗 留梗柄,73.1,48.6,28.3,49.4,7403
105/09/23,FB11 花椰菜 青梗 留梗柄,76.0,48.9,24.8,49.5,8078
105/09/24,FB11 花椰菜 青梗 留梗柄,78.1,52.0,25.6,52.0,9297
105/09/25,FB11 花椰菜 青梗 留梗柄,78.7,54.0,29.8,54.1,11624
105/09/27,FB11 花椰菜 青梗 留梗柄,84.2,56.8,38.0,58.5,14153
105/09/28,FB11 花椰菜 青梗 留梗柄,71.6,50.2,35.5,51.5,6659
105/09/29,FB11 花椰菜 青梗 留梗柄,101.4,34.0,18.1,44.3,1387
105/09/30,FB11 花椰菜 青梗 留梗柄,80.8,33.9,6.5,37.8,8415
105/10/01,FB11 花椰菜 青梗 留梗柄,98.7,43.6,13.2,48.5,5661
105/10/02,FB11 花椰菜 青梗 留梗柄,86.6,43.9,26.9,49.0,8103
105/10/04,FB11 花椰菜 青梗 留梗柄,101.5,60.3,35.4,63.5,6153
105/10/05,FB11 花椰菜 青梗 留梗柄,102.8,67.7,47.7,70.7,3850
105/10/06,FB11 花椰菜 青梗 留梗柄,106.2,71.0,52.4,74.3,4520
105/10/07,FB11 花椰菜 青梗 留梗柄,116.5,73.3,35.5,74.4,3599
105/10/08,FB11 花椰菜 青梗 留梗柄,137.9,78.9,49.1,84.7,4880
105/10/09,FB11 花椰菜 青梗 留梗柄,134.2,79.3,41.1,82.6,5526
105/10/11,FB11 花椰菜 青梗 留梗柄,139.3,85.2,51.0,89.2,4657
105/10/12,FB11 花椰菜 青梗 留梗柄,149.2,84.2,54.3,91.2,2977
105/10/13,FB11 花椰菜 青梗 留梗柄,127.9,79.9,57.3,85.0,2729
105/10/14,FB11 花椰菜 青梗 留梗柄,132.3,78.2,55.6,84.5,2080
105/10/15,FB11 花椰菜 青梗 留梗柄,175.2,92.7,53.9,101.4,2060
105/10/16,FB11 花椰菜 青梗 留梗柄,159.2,84.4,57.8,94.1,2180
105/10/18,FB11 花椰菜 青梗 留梗柄,168.7,99.7,59.8,105.5,2798
105/10/19,FB11 花椰菜 青梗 留梗柄,192.0,101.8,64.0,112.3,1285
105/10/20,FB11 花椰菜 青梗 留梗柄,185.3,122.5,91.6,128.9,1527
105/10/21,FB11 花椰菜 青梗 留梗柄,195.1,110.1,72.5,119.6,1541
105/10/22,FB11 花椰菜 青梗 留梗柄,182.5,122.8,76.2,125.4,1739
105/10/23,FB11 花椰菜 青梗 留梗柄,156.2,95.5,66.3,101.8,2274
105/10/25,FB11 花椰菜 青梗 留梗柄,164.4,108.9,66.6,111.6,2606
105/10/26,FB11 花椰菜 青梗 留梗柄,166.3,113.3,56.2,112.5,1564
105/10/27,FB11 花椰菜 青梗 留梗柄,133.7,85.4,59.0,89.8,2338
105/10/28,FB11 花椰菜 青梗 留梗柄,144.8,92.6,66.4,97.8,2123
105/10/29,FB11 花椰菜 青梗 留梗柄,134.4,81.0,57.4,87.0,4017
105/10/30,FB11 花椰菜 青梗 留梗柄,131.9,75.3,55.4,82.6,4272
105/11/01,FB11 花椰菜 青梗 留梗柄,124.4,71.4,49.2,77.5,5990
105/11/02,FB11 花椰菜 青梗 留梗柄,137.8,77.1,46.3,83.1,2911
105/11/03,FB11 花椰菜 青梗 留梗柄,114.1,69.7,44.7,73.6,4032
105/11/04,FB11 花椰菜 青梗 留梗柄,145.5,89.8,53.3,93.6,2407
105/11/05,FB11 花椰菜 青梗 留梗柄,135.5,83.5,53.8,88.0,3152
105/11/06,FB11 花椰菜 青梗 留梗柄,136.6,92.6,62.5,95.4,3301
105/11/08,FB11 花椰菜 青梗 留梗柄,130.0,89.1,59.2,91.3,4869
105/11/09,FB11 花椰菜 青梗 留梗柄,147.3,105.8,70.8,107.1,2147
105/11/10,FB11 花椰菜 青梗 留梗柄,136.8,105.5,75.5,105.7,2212
105/11/11,FB11 花椰菜 青梗 留梗柄,154.8,113.7,82.0,115.6,1533
105/11/12,FB11 花椰菜 青梗 留梗柄,160.3,114.9,82.1,117.4,2248
105/11/13,FB11 花椰菜 青梗 留梗柄,146.2,113.7,76.5,112.8,2851
105/11/15,FB11 花椰菜 青梗 留梗柄,132.5,103.2,71.1,102.6,4993
105/11/16,FB11 花椰菜 青梗 留梗柄,136.3,113.3,80.2,111.3,2411
105/11/17,FB11 花椰菜 青梗 留梗柄,130.1,103.4,63.6,100.8,3048
105/11/18,FB11 花椰菜 青梗 留梗柄,123.4,101.5,63.3,98.3,3028
105/11/19,FB11 花椰菜 青梗 留梗柄,133.8,98.5,59.2,97.7,3509
105/11/20,FB11 花椰菜 青梗 留梗柄,132.2,100.5,58.9,98.5,4093
105/11/22,FB11 花椰菜 青梗 留梗柄,129.1,96.3,56.0,94.8,4954
105/11/23,FB11 花椰菜 青梗 留梗柄,143.0,101.5,56.5,100.8,2101
105/11/24,FB11 花椰菜 青梗 留梗柄,119.1,91.8,57.8,90.5,3925
105/11/25,FB11 花椰菜 青梗 留梗柄,145.2,112.8,66.8,110.1,1864
