日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
098/06/05,A1 香蕉,23.0,16.1,9.9,16.2,19853
098/06/06,A1 香蕉,23.6,16.6,12.5,17.2,22108
098/06/07,A1 香蕉,21.9,16.3,11.0,16.4,34080
098/06/09,A1 香蕉,22.5,17.6,11.9,17.5,27327
098/06/10,A1 香蕉,22.0,18.5,14.5,18.4,21204
098/06/11,A1 香蕉,22.3,17.2,13.3,17.5,19465
098/06/12,A1 香蕉,22.0,17.0,12.7,17.1,18523
098/06/13,A1 香蕉,21.2,17.0,11.9,16.8,17260
098/06/14,A1 香蕉,20.5,16.0,11.3,16.0,20566
098/06/16,A1 香蕉,21.3,15.8,12.3,16.2,21239
098/06/17,A1 香蕉,20.0,16.6,13.0,16.5,22835
098/06/18,A1 香蕉,20.0,16.5,13.3,16.5,20953
098/06/19,A1 香蕉,19.1,15.3,12.3,15.5,19431
098/06/20,A1 香蕉,17.6,15.0,11.3,14.8,22110
098/06/21,A1 香蕉,18.6,14.8,11.6,14.9,21396
098/06/23,A1 香蕉,19.6,16.1,13.4,16.3,28873
098/06/24,A1 香蕉,20.1,16.5,13.0,16.6,27525
098/06/25,A1 香蕉,18.3,15.7,12.3,15.5,22815
098/06/26,A1 香蕉,17.7,14.9,12.3,15.0,15494
098/06/27,A1 香蕉,17.6,14.4,9.8,14.1,19367
098/06/28,A1 香蕉,18.1,14.6,11.3,14.7,19405
098/06/30,A1 香蕉,17.4,14.0,9.5,13.8,23891
098/07/01,A1 香蕉,17.4,12.1,8.2,12.4,22561
098/07/02,A1 香蕉,15.9,12.3,8.4,12.2,17386
098/07/03,A1 香蕉,15.9,12.1,9.5,12.3,19819
098/07/04,A1 香蕉,15.8,12.1,9.6,12.3,21400
098/07/05,A1 香蕉,17.8,13.2,9.9,13.5,21380
098/07/07,A1 香蕉,19.2,14.4,11.8,14.9,31339
098/07/08,A1 香蕉,16.8,14.2,12.0,14.3,25641
098/07/09,A1 香蕉,16.4,13.9,8.3,13.3,23970
098/07/10,A1 香蕉,15.8,13.1,9.2,12.8,18021
098/07/11,A1 香蕉,17.3,13.8,11.9,14.1,16350
098/07/12,A1 香蕉,18.9,15.8,13.1,15.9,15005
098/07/14,A1 香蕉,19.4,16.4,13.1,16.3,16905
098/07/15,A1 香蕉,18.7,16.0,11.7,15.7,16938
098/07/16,A1 香蕉,19.2,15.7,12.5,15.8,14341
098/07/17,A1 香蕉,20.6,16.8,13.1,16.8,15732
098/07/18,A1 香蕉,20.9,16.9,12.9,16.9,15218
098/07/19,A1 香蕉,20.9,17.5,14.5,17.6,15490
098/07/21,A1 香蕉,22.7,18.2,14.6,18.4,17721
098/07/22,A1 香蕉,21.3,18.2,14.5,18.1,23371
098/07/23,A1 香蕉,21.9,18.9,15.6,18.8,19117
098/07/24,A1 香蕉,22.1,18.6,14.7,18.5,19740
098/07/25,A1 香蕉,21.1,18.1,14.9,18.0,15968
098/07/26,A1 香蕉,21.3,18.6,13.5,18.1,16424
098/07/28,A1 香蕉,21.2,18.1,14.5,18.0,17900
098/07/29,A1 香蕉,21.0,18.2,13.9,17.9,16368
098/07/30,A1 香蕉,21.2,18.0,13.1,17.6,15607
098/07/31,A1 香蕉,20.0,18.0,15.2,17.8,14635
098/08/01,A1 香蕉,21.2,18.8,15.2,18.5,14254
098/08/02,A1 香蕉,22.0,18.9,15.9,18.9,14557
098/08/04,A1 香蕉,23.4,19.8,13.6,19.3,20332
098/08/05,A1 香蕉,22.0,19.4,15.3,19.1,27595
098/08/06,A1 香蕉,21.6,18.8,16.1,18.8,24069
098/08/07,A1 香蕉,22.1,19.4,14.9,19.0,18450
098/08/08,A1 香蕉,22.3,19.7,15.0,19.3,11389
098/08/09,A1 香蕉,23.6,20.5,16.6,20.3,15795
098/08/11,A1 香蕉,32.2,21.7,17.2,22.9,15795
098/08/12,A1 香蕉,38.5,30.4,21.6,30.2,17594
098/08/13,A1 香蕉,36.5,29.5,21.5,29.3,13952
098/08/14,A1 香蕉,37.1,29.0,20.8,29.0,14017
098/08/15,A1 香蕉,36.0,29.6,23.2,29.6,14340
098/08/16,A1 香蕉,34.6,29.2,23.2,29.1,13839
